name,type,lat,lon,address
Manava Seva Eye Hospital,hospital,10.5570041,76.1729225,"Manava Seva Eye Hospital, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Thrissur District, Kerala, 680555, India"
Kerala Nursing Home,hospital,10.7703747,76.6584356,"Kerala Nursing Home, Court Road, Tharekkad, Palakkad, Palakkad District, Kerala, 678001, India"
Madhavi Amma Hospital,hospital,10.770823,76.6570114,"Madhavi Amma Hospital, Harikkara Street, Manjakulam, Palakkad, Palakkad District, Kerala, 678001, India"
Govt. Homeo Dispensary,hospital,10.8000772,76.5191733,"Govt. Homeo Dispensary, Mankurussi-Kallur Road, Ariyekkarparamb Colony, Mankurussi, Palakkad, Palakkad District, Kerala, 678613, India"
Nirmala Hospital,hospital,9.9446102,76.3727576,"Nirmala Hospital, Kochi - Madurai - Dhanushkodi Road, Mamala, Chathari, Thiruvamkulam, Kanayannur, Ernakulam District, Kerala, 682305, India"
Sacred Heart Hospital,hospital,10.345043,76.234776,"Sacred Heart Hospital, Potta - Moonupeedika Road, Pulloor, Mukundapuram, Thrissur District, Kerala, 680683, India"
Marina hospital,hospital,10.3474325,76.2189728,"Marina hospital, Potta - Moonupeedika Road, Madathikara, Mukundapuram, Thrissur District, Kerala, 680100, India"
Ushus Hospital.,hospital,9.9832872,76.5778883,"Ushus Hospital., MC Road, Kizhakkekara, Muvattupuzha, Ernakulam District, Kerala, 686661, India"
Nediyedath,hospital,10.1717099,76.2119279,"Nediyedath, Kodungallur-Paravur-Ernakulam Highway, Thuruthipuram, Andipillikavu, Paravur, Ernakulam District, Kerala, 683522, India"
Topmost Medical Centre,hospital,10.148035,76.2454786,"Topmost Medical Centre, Aluva-Parur Road, North Paravur, Paravur, Ernakulam District, Kerala, 683520, India"
St. George Hospital,hospital,9.9517544,76.3582963,"St. George Hospital, Seaport Airport Road, Chathari, Thrippunithura, Kanayannur, Ernakulam District, Kerala, 682301, India"
Gauri Sankar Hospital,hospital,10.2125477,76.2003037,"Gauri Sankar Hospital, 35, അഴീക്കോട്- മേത്തല - കൊടുങ്ങല്ലൂര്‍ റോഡ്, TKS Puram, Thiruvanchikulam, Kodungallur, Ernakulam District, Kerala, 682030, India"
City Hospital,hospital,9.9812391,76.2834857,"City Hospital, Mahatma Gandhi Road, Pulleppady, Shenoys, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682035, India"
The Touch Aesthetic Medical Clinic,hospital,9.9770906,76.3170085,"The Touch Aesthetic Medical Clinic, Salem - Kochi - Kanyakumari Road, Vyttila, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682032, India"
Santhi Clinic And Hospital,hospital,10.1470025,76.2294297,"Santhi Clinic And Hospital, Mookambi West Nada Road, North Paravur, Paravur, Ernakulam District, Kerala, 683513, India"
"District Hospital, Thrissur",hospital,10.5229301,76.2174171,"District Hospital, Thrissur, Thrissur, High Road, Chembukkavu, Thrissur, Thrissur District, Kerala, 680001, India"
West Fort,hospital,10.5183579,76.2038058,"West Fort, Javahar Nagar, Poothole, Thrissur, Thrissur District, Kerala, 680004, India"
priya hospital,hospital,10.1751999,76.3302812,"priya hospital, MDR, Kurumassery, Moozhikulam, Aluva, Ernakulam District, Kerala, 683579, India"
Mala Govt. Hospital,hospital,10.2399929,76.273435,"Mala Govt. Hospital, annamanada -mala pallipuram road, Mala, Chalakkudy, Thrissur District, Kerala, 680732, India"
Sholayar Garden Hospital,hospital,10.2935723,76.9455228,"Sholayar Garden Hospital, Valparai - Manicka Kurangumudi Road, Valparai, Coimbatore District, Tamil Nadu, 642127, India"
Akshaya Hospital,hospital,9.9690057,76.299672,"Akshaya Hospital, Kaloor-Kadavanthara Road, Elamkulam, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682020, India"
Vinayaka Ayurveda Hospital,hospital,10.4733918,76.2121049,"Vinayaka Ayurveda Hospital, Kodungallur - Shornur Road, Thrissur, Thrissur District, Kerala, 680027, India"
Dr Raju's Eye Hospital,hospital,9.9647734,76.3191089,"Dr Raju's Eye Hospital, Ettumanoor - Ernakulam Road, Vyttila, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682019, India"
Carmel Hospital,hospital,10.090557,76.3620708,"Carmel Hospital, Aluva - Munnar Road, Ashokapuram, Kodikuthumala, Aluva, Ernakulam District, Kerala, 683101, India"
Bharath Rural Hospital and Training Centre,hospital,10.1807053,76.2057125,"Bharath Rural Hospital and Training Centre, Kodungallur-Paravur-Ernakulam Highway, Madaplathurutrh, Andipillikavu, Paravur, Ernakulam District, Kerala, 683516, India"
Vishnu Ayurveda College,hospital,10.7672982,76.6479602,"Vishnu Ayurveda College, Shoranur Road, Nurani, Palakkad, Palakkad District, Kerala, 678001, India"
Vaidyaratnam Nursing Home,hospital,10.4579628,76.239088,"Vaidyaratnam Nursing Home, Thaikkattussery Road, Thrissur, Thrissur District, Kerala, 680313, India"
St. Vincent de Paul Hospital,hospital,10.4843171,76.233723,"St. Vincent de Paul Hospital, MDR, Cheerachi, Thrissur, Thrissur District, Kerala, 680026, India"
N/A,hospital,9.9879592,76.2942771,"Punarnava Ayurveda Hospital, Kollamparambil lane, Pulleppady, Kaloor, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682011, India"
Metro Healthcare,hospital,10.3437349,76.2081502,"Metro Healthcare, Minor road, Irinjalakuda, Mukundapuram, Thrissur District, Kerala, 680121, India"
"Najath Hospital, Ernakulam",hospital,10.110983,76.3515701,"Najath Hospital, Ernakulam, Bridge Road, Thottakkattukara, Aluva, Ernakulam District, Kerala, 683101, India"
Dr. Pakkai Memorial Hospital,hospital,10.178028,76.3300226,"Dr. Pakkai Memorial Hospital, MDR, Kurumassery, Moozhikulam, Aluva, Ernakulam District, Kerala, 683579, India"
Crescent hospital,hospital,10.6475156,76.544557,"Crescent hospital, Pazhayannur-Alathur Road, Ambedkar Colony, Puducode, edathil colony, Alathur, Palakkad District, Kerala, 678541, India"
"Taluk Head Quarters Hospital, Alathur",hospital,10.6470487,76.5380763,"Taluk Head Quarters Hospital, Pazhayannur-Alathur Road, Ambedkar Colony, Puducode, edathil colony, Alathur, Palakkad District, Kerala, 678541, India"
N/A,hospital,10.1753835,76.2870091,"MDR, Kanakkankadavu, Paravur, Ernakulam District, Kerala, 683578, India"
VM Health care,hospital,10.2095527,76.2956389,"Hospital, Ayurveda Hospital Road, Valiyaparambu, Chalakkudy, Thrissur District, Kerala, 680734, India"
Prana Ayurvedic Centre,hospital,10.1188241,76.3816906,"Prana Ayurvedic Centre, Aluva-Perumbavoor Road, Valiya Pazhampilli Thuruth, Aluva, Ernakulam District, Kerala, 983105, India"
Community Health Centre Koduvayur,hospital,10.6891901,76.6603698,"Community Health Centre Koduvayur, Palakkad - Koduvayur - Meenakshipuram Road, Koduvayur, Chittur, Palakkad District, Kerala, 678501, India"
Comfort,hospital,10.6172029,76.1985724,"Comfort, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Casualty,hospital,10.6137919,76.1951365,"Casualty, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
A - Block,hospital,10.6151029,76.1963597,"A - Block, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
B - Block,hospital,10.6148665,76.196341,"B - Block, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
N/A,hospital,10.614477,76.1964537,"Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
D - Block,hospital,10.614092,76.1962835,"D - Block, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
E - Block,hospital,10.6138439,76.196279,"E - Block, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Psychiatry OP,hospital,10.6146728,76.196058,"Psychiatry OP, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
ECG,hospital,10.6144911,76.1960728,"ECG, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Karuna Dialysis Centre,hospital,10.6150967,76.1958479,"Karuna Dialysis Centre, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Proctoscopy Room,hospital,10.6143708,76.196012,"Proctoscopy Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Endoscopy Room 2,hospital,10.6142743,76.1956405,"Endoscopy Room 2, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Retinoscopy,hospital,10.6149237,76.196107,"Retinoscopy, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Vision Testing;Dept. of Obsterics & Gynaecology,hospital,10.6148272,76.1961075,"Vision Testing;Dept. of Obsterics & Gynaecology, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Vision Testing,hospital,10.6148295,76.1960542,"Vision Testing, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
ECG,hospital,10.6148285,76.1960806,"ECG, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Surgery Room,hospital,10.6148303,76.1960287,"Surgery Room, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
CT Scan,hospital,10.6138065,76.1962183,"CT Scan, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
3D-4D Ultrasound Scan,hospital,10.6138971,76.1957005,"3D-4D Ultrasound Scan, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
DSA Room,hospital,10.6138307,76.195701,"DSA Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Audiology & Speech Therapy,hospital,10.6138247,76.1960326,"Audiology & Speech Therapy, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Treatment & Dressing Room,hospital,10.6138969,76.1960317,"Treatment & Dressing Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Dept. of Geneto-Urinary Surgery,hospital,10.6151788,76.1954886,"Dept. of Geneto-Urinary Surgery, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Infertility Clinic,hospital,10.615153,76.1962881,"Infertility Clinic, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Dept. of Gastroentology,hospital,10.6151909,76.1953222,"Dept. of Gastroentology, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Dept. of Opthomology,hospital,10.615154,76.1961727,"Dept. of Opthomology, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
N/A,hospital,10.6151158,76.1957623,"Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
X-Ray Entrance,hospital,10.6139674,76.1950542,"X-Ray Entrance, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Surgery,hospital,10.6138738,76.1949694,"Surgery, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Ortho,hospital,10.6138763,76.194922,"Ortho, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Observation-Surgery (female),hospital,10.6138833,76.1948615,"Observation-Surgery (female), Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Nursing Station,hospital,10.6138864,76.1948294,"Nursing Station, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Observation surgery(Female),hospital,10.6138931,76.1947713,"Observation surgery(Female), Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
ABC Ward,hospital,10.6181705,76.2005703,"ABC Ward, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Duty Nurse,hospital,10.6183764,76.200408,"Duty Nurse, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Ayurveda Block,hospital,10.6184238,76.2000499,"Ayurveda Block, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
OP Room (Ayurveda),hospital,10.6184647,76.2000204,"OP Room (Ayurveda), Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
OP Registration (Ayurveda),hospital,10.6183487,76.200121,"OP Registration (Ayurveda), Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Pharmacy,hospital,10.6184083,76.200023,"Pharmacy, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Female Ward,hospital,10.6184992,76.1998782,"Female Ward, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Male Ward,hospital,10.6182069,76.1997735,"Male Ward, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Cord Room,hospital,10.6180746,76.201387,"Cord Room, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Insurance Medical Room,hospital,10.618084,76.2012758,"Insurance Medical Room, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Pharmacy,hospital,10.6180805,76.2013118,"Pharmacy, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Electrical Room,hospital,10.6180762,76.20135,"Electrical Room, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Medicine Clinic,hospital,10.6181568,76.2013062,"Medicine Clinic, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Chest OP,hospital,10.6181536,76.2013449,"Chest OP, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Dental OP,hospital,10.618151,76.2013804,"Dental OP, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Casualty,hospital,10.6181466,76.2014179,"Casualty, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Registration,hospital,10.6181451,76.2014494,"Registration, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Laboratory,hospital,10.6181433,76.2014851,"Laboratory, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Eye OP,hospital,10.6181223,76.2011802,"Eye OP, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Nurse's Room,hospital,10.6181916,76.2010275,"Nurse's Room, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Duty Nurse,hospital,10.6181979,76.2009838,"Duty Nurse, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Pulmunary OP,hospital,10.6182062,76.2009127,"Pulmunary OP, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Sleep Lab,hospital,10.6182152,76.200859,"Sleep Lab, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Female Ward,hospital,10.6181024,76.2009336,"Female Ward, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Nursing,hospital,10.6182769,76.2010974,"Nursing, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Conference Hall,hospital,10.6183357,76.2011072,"Conference Hall, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Medicine Storeroom,hospital,10.6183819,76.2011131,"Medicine Storeroom, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Sitting Place,hospital,10.6184928,76.2011327,"Sitting Place, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Pharmacy,hospital,10.6184369,76.2011719,"Pharmacy, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Superintendent,hospital,10.6184359,76.20122,"Superintendent, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Office,hospital,10.618433,76.2012641,"Office, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Junior Superintendent,hospital,10.6184301,76.2012984,"Junior Superintendent, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Treasurer,hospital,10.618432,76.2013367,"Treasurer, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
X-Ray,hospital,10.6183781,76.2012993,"X-Ray, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
RMO,hospital,10.6183393,76.2012745,"RMO, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
Doctor's Duty Room,hospital,10.6182994,76.201279,"Doctor's Duty Room, Athani-Medical College Road, Thrissur, Thrissur District, Kerala, 680596, India"
N/A,hospital,10.6139774,76.1946817,"Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
N/A,hospital,10.6139692,76.1947097,"Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Female PG Room,hospital,10.6139672,76.1947349,"Female PG Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Ophthalmology Room,hospital,10.6139658,76.1947697,"Ophthalmology Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
ENT Room,hospital,10.6139687,76.1947972,"ENT Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Trauma Resuscitation Room,hospital,10.6139631,76.1948612,"Trauma Resuscitation Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Procedure Room,hospital,10.6139621,76.1949122,"Procedure Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Procedure Room,hospital,10.6139573,76.1949593,"Procedure Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Resuscitation Room,hospital,10.6139583,76.1950054,"Resuscitation Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Casualty counter,hospital,10.6137947,76.1951747,"Casualty counter, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Medical Emergency,hospital,10.6139542,76.1951781,"Medical Emergency, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Nursing Station,hospital,10.6139086,76.1952309,"Nursing Station, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Medicine,hospital,10.6138476,76.1952322,"Medicine, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
ECG Room,hospital,10.615727,76.1880642,"ECG Room, Medical college Road, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Preventive Medicine,hospital,10.613915,76.1955027,"Preventive Medicine, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Stomach Wash Room,hospital,10.6139163,76.1956321,"Stomach Wash Room, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Medical Observation Ward(Female),hospital,10.6138361,76.1956269,"Medical Observation Ward(Female), Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Medical Observation Ward (Male),hospital,10.6138539,76.1954522,"Medical Observation Ward (Male), Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Central Research Laboratary,hospital,10.6139188,76.1948802,"Central Research Laboratary, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Westend Eye Hospitals,hospital,9.9880943,76.2827224,"Westend Eye Hospitals, Chittoor Road, Pulleppady, Ernakulam North, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682018, India"
Sarathy Ayurveda Clinic,hospital,10.1093589,76.3589857,"Sarathy Ayurveda Clinic, Aluva Bypass Road, Thottakkattukara, Aluva, Ernakulam District, Kerala, 683101, India"
Govt Ayurveda Hospital ഗവൺമെന്റ് ആയൂർവേദ ആശുപത്രി,hospital,10.1238777,76.3475843,"Govt Ayurveda Hospital ഗവൺമെന്റ് ആയൂർവേദ ആശുപത്രി, GCDA Road, Thottakkattukara, Aluva, Ernakulam District, Kerala, 683108, India"
ANIMAL DISEASE CONTROL PROJECT THRISSUR,hospital,10.5202667,76.2415681,"ANIMAL DISEASE CONTROL PROJECT THRISSUR, PARAVATTANI, Paravattani - Nellikunnu Road, Chelakkottukara, Thrissur, Thrissur District, Kerala, 680005, India"
Govt Homeo Dispensary,hospital,10.0160984,76.2888545,"Govt Homeo Dispensary, Play Ground Road, Lords Cottages, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682026, India"
Giridhar Eye Institute,hospital,9.9641496,76.3050675,"Giridhar Eye Institute, Ponneth Temple Road, Elamkulam, Kochi, Kanayannur, Ernakulam District, Kerala, 682020, India"
ICU,hospital,10.6139228,76.1949157,"ICU, Hospital Walkway, Edakkulam, Thrissur, Thrissur District, Kerala, 680596, India"
Gov.Homeo Dispensary- valakkavu,hospital,10.5174566,76.2961673,"Gov.Homeo Dispensary- valakkavu, kannara moorkinikara road, Thrissur, Thrissur District, Kerala, 680014, India"
ahalya eye hospital,hospital,10.5688492,76.1644422,"ahalya eye hospital, Thrissur-Kuttipuram road, Laksham Veedu, Peramangalam, Thrissur, Thrissur District, Kerala, 680555, India"
Taluk Headquarters Hospital,hospital,10.295896,76.3407747,"Taluk Headquarters Hospital, Palace Road, Chalakudy, Chalakkudy, Thrissur District, Kerala, 680307, India"
Government Hospital New Block,hospital,10.2971096,76.3409722,"Government Hospital New Block, Govt. Hospital Road, Chalakudy, Chalakkudy, Thrissur District, Kerala, 680307, India"
"Government Hospital ,Chalakudy",hospital,10.2964737,76.3408068,"Government Hospital ,Chalakudy, Palace Road, Chalakudy, Chalakkudy, Thrissur District, Kerala, 680307, India"
Primary Health Centre Vilvattom,hospital,10.555753,76.2383452,"Primary Health Centre Vilvattom, Police Academy Road, Thrissur, Thrissur District, Kerala, 680631, India"
Government Hospital Kodakara,hospital,10.3764307,76.3083021,"Government Hospital Kodakara, Kodakara Vellikulangara Road, Kodakara, Chalakkudy, Thrissur District, Kerala, 680684, India"
Ephphatha Softech എഫഥാ സ്പീച്ച് ആന്റ് ഹിയറിങ് സെന്റർ,hospital,10.006847,76.3052486,"Ephphatha Softech എഫഥാ സ്പീച്ച് ആന്റ് ഹിയറിങ് സെന്റർ, Old NH 47, Sonia Nagar, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682565, India"
Primary Health Centre Koonammavu,hospital,10.1011548,76.2659238,"Primary Health Centre Koonammavu, Koonammavu - Paathalam Road, Kongorpilly, Koonammavu, Paravur, Ernakulam District, Kerala, 683518, India"
Rajagiri Hospital Emergency Services Entrance,hospital,10.0876999,76.3887934,"Rajagiri Hospital Emergency Services Road, Aluva, Ernakulam District, Kerala, India"
Rajagiri Hospital Main Entrance,hospital,10.0878907,76.388261,"Rajagiri Hospital Main Entrance, Rajagiri Hospital Access Road, Aluva, Ernakulam District, Kerala, 683112, India"
Holy Family Medical Center,hospital,10.471975,76.2422664,"Holy Family Medical Center, High Road, Ollur, Thrissur, Thrissur District, Kerala, 680313, India"
pannikod hospital,hospital,10.7742614,76.4296185,"pannikod hospital, Palakkad-Ponnani Road, Ottappalam, Palakkad District, Kerala, 679103, India"
homeo doctor,hospital,10.7010589,76.7389378,"homeo doctor, Palakkad-Chittur Road, Polpulli, Chittur, Palakkad District, Kerala, 678552, India"
"GOVT.Vetinary Hospital,Kazhani Chungham",hospital,10.6539028,76.500625,"GOVT.Vetinary Hospital,Kazhani Chungham, Kazhani Chungam Thennilapuram Road, Alathur, Palakkad District, Kerala, 678543, India"
"Vathiyayath Hospital, Perumbavoor",hospital,10.1102479,76.4757764,"Vathiyayath Hospital, Perumbavoor, Perumbavoor-Puthencruz road, Pathipalam, Perumbavoor, Kunnathunad, Ernakulam District, Kerala, 683542, India"
"Ahalia Foundation Eye Hospital, Kattungachira",hospital,10.362468,76.2187994,"Ahalia Foundation Eye Hospital, Kattungachira, Kodungallur - Shornur Road, Irinjalakuda, Mukundapuram, Thrissur District, Kerala, 680125, India"
Luke Memorial Eye Hospital,hospital,10.1145519,76.4741792,"Luke Memorial Eye Hospital, Aluva - Munnar Road, Perumbavoor, Kunnathunad, Ernakulam District, Kerala, 683542, India"
Cochin Ariya Vaidya Sala,hospital,9.9696286,76.3380557,"Cochin Ariya Vaidya Sala, Eroor Road, Eroor, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682306, India"
The Irinjalakuda Co-Operative Hospital Ltd.,hospital,10.332772,76.2167931,"kolothumpadi, Kodungallur - Shornur Road, Nadavaramb, lakshamveedu colony, Vellangallur, Mukundapuram, Thrissur District, Kerala, 680661, India"
P.M.M. Hsopital,hospital,10.1643998,76.4363587,"P.M.M. Hsopital, Aluva Kalady Road, Mattoor Harijan Colony, Kalady, Aluva, Ernakulam District, Kerala, 683574, India"
R C M Eye Hospital,hospital,9.9467902,76.3522044,"R C M Eye Hospital, Old SH20, Chathari, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682301, India"
Vijaya Institute of Medical Sciences,hospital,9.9700978,76.2991192,"Vijaya Institute of Medical Sciences, Kaloor-Kadavanthara Road, Elamkulam, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682020, India"
Ahalia Foundation Eye Hospital,hospital,10.1446776,76.2262894,"Ahalia Foundation Eye Hospital, Republic Road, Kalikulangara, North Paravur, Paravur, Ernakulam District, Kerala, 691301, India"
